CD_MUN,NM_MUN,SIGLA,REGIAO_MUN,AREA_MUN,CNUC,NM_UC,REGIAO_UC,AREA_UC,AREA_SOBREP,PERC_SOBREP,PERC_TOTAL
4204202,Chapecó,SC,Sul,0.05687776380254467,0000.00.0080,FLORESTA NACIONAL DE CHAPECÓ,Sul,0.0014602298759626633,0.00026192403839287066,0.004605034039350759,0.004605034039350759
4206652,Guatambú,SC,Sul,0.018767909566965012,0000.00.0080,FLORESTA NACIONAL DE CHAPECÓ,Sul,0.0014602298759626633,0.001198305837569792,0.06384865790695367,0.06384865790695367
4205704,Garopaba,SC,Sul,0.010533674232992217,0000.00.0006,ÁREA DE PROTEÇÃO AMBIENTAL DA BALEIA FRANCA,Sul,0.14253942637079622,0.001690989530082685,0.16053178527074488,0.16053178527074488
4207304,Imbituba,SC,Sul,0.016687387068310973,0000.00.0006,ÁREA DE PROTEÇÃO AMBIENTAL DA BALEIA FRANCA,Sul,0.14253942637079622,0.002201560273535748,0.1319295983561422,0.1319295983561422
4208807,Jaguaruna,SC,Sul,0.03012243841581488,0000.00.0006,ÁREA DE PROTEÇÃO AMBIENTAL DA BALEIA FRANCA,Sul,0.14253942637079622,0.009949619792805781,0.33030592196619885,0.33030592196619885
4209409,Laguna,SC,Sul,0.03071002143525791,0000.00.0006,ÁREA DE PROTEÇÃO AMBIENTAL DA BALEIA FRANCA,Sul,0.14253942637079622,0.015833470094216255,0.5155799102125661,0.5155799102125661
4211900,Palhoça,SC,Sul,0.0361487823523625,0000.00.0006,ÁREA DE PROTEÇÃO AMBIENTAL DA BALEIA FRANCA,Sul,0.14253942637079622,2.29047691883825e-05,0.0006336249161898966,0.0006336249161898966
4212304,Paulo Lopes,SC,Sul,0.040917976709343724,0000.00.0006,ÁREA DE PROTEÇÃO AMBIENTAL DA BALEIA FRANCA,Sul,0.14253942637079622,3.1929156159330616e-05,0.0007803209915811773,0.0007803209915811773
4218707,Tubarão,SC,Sul,0.02778064994857965,0000.00.0006,ÁREA DE PROTEÇÃO AMBIENTAL DA BALEIA FRANCA,Sul,0.14253942637079622,0.00030643112953137594,0.011030380142241522,0.011030380142241522
4220000,Balneário Rincão,SC,Sul,0.005862810167546726,0000.00.0006,ÁREA DE PROTEÇÃO AMBIENTAL DA BALEIA FRANCA,Sul,0.14253942637079622,0.0016267423326865318,0.2774680206586387,0.2774680206586387
4208708,Jacinto Machado,SC,Sul,0.039879065154594044,0000.00.0153,PARQUE NACIONAL DA SERRA GERAL,,0.016039332640134456,0.002824614723912308,0.07082951199990489,0.07082951199990489
4213807,Praia Grande,SC,Sul,0.026375897860182955,0000.00.0153,PARQUE NACIONAL DA SERRA GERAL,,0.016039332640134456,0.004882695097098902,0.1851195786009551,0.3725782899138661
4213807,Praia Grande,SC,Sul,0.026375897860182955,0000.00.0158,PARQUE NACIONAL DE APARADOS DA SERRA,,0.012195437552164767,0.004944391822590863,0.18745871131291097,0.3725782899138661
4303608,Cambará do Sul,RS,Sul,0.10949047938915431,0000.00.0153,PARQUE NACIONAL DA SERRA GERAL,,0.016039332640134456,0.008332022819123265,0.07609814904097134,0.14230748655732284
4303608,Cambará do Sul,RS,Sul,0.10949047938915431,0000.00.0158,PARQUE NACIONAL DE APARADOS DA SERRA,,0.012195437552164767,0.0072492921047036425,0.06620933751635148,0.14230748655732284
4212270,Passos Maia,SC,Sul,0.055968176864673785,0000.00.0262,PARQUE NACIONAL DAS ARAUCÁRIAS,Sul,0.011624598585677876,0.005232762439833821,0.09349531703500344,0.09349531703500344
4213401,Ponte Serrada,SC,Sul,0.05092465880780257,0000.00.0262,PARQUE NACIONAL DAS ARAUCÁRIAS,Sul,0.011624598585677876,0.006391836145844037,0.1255155418903797,0.1255155418903797
4311734,Mampituba,RS,Sul,0.014541624037173292,0000.00.0158,PARQUE NACIONAL DE APARADOS DA SERRA,,0.012195437552164767,1.753624870351316e-06,0.00012059346781820654,0.00012059346781820654
4215679,Santa Terezinha,SC,Sul,0.0648765912738949,0000.00.0045,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO SERRA DA ABELHA,Sul,0.004553068560008617,7.010026726277586e-05,0.0010805171154388757,0.0010805171154388757
4219358,Vitor Meireles,SC,Sul,0.03363012683918214,0000.00.0045,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO SERRA DA ABELHA,Sul,0.004553068560008617,0.004482968292745888,0.13330215238804347,0.13330215238804347
4300001,Lagoa Mirim,RS,Sul,0.27638557220920185,0000.00.0070,ESTAÇÃO ECOLÓGICA DO TAIM,Sul,0.031557415820159446,0.0006795107090369368,0.002458560711420209,0.002458560711420209
4315602,Rio Grande,RS,Sul,0.2581035324349787,0000.00.0070,ESTAÇÃO ECOLÓGICA DO TAIM,Sul,0.031557415820159446,0.005372977087018406,0.020817138906736827,0.020817138906736827
4317301,Santa Vitória do Palmar,RS,Sul,0.5033120871841369,0000.00.0070,ESTAÇÃO ECOLÓGICA DO TAIM,Sul,0.031557415820159446,0.025504928024104093,0.050674181434417064,0.050674181434417064
4300406,Alegrete,RS,Sul,0.727617258147043,0000.00.0021,ÁREA DE PROTEÇÃO AMBIENTAL DO IBIRAPUITÃ,Sul,0.2974266055096918,0.04585929247466465,0.0630266695315204,0.0630266695315204
4315305,Quaraí,RS,Sul,0.2943906845825417,0000.00.0021,ÁREA DE PROTEÇÃO AMBIENTAL DO IBIRAPUITÃ,Sul,0.2974266055096918,0.03495675633736458,0.1187427393870656,0.1187427393870656
4316402,Rosário do Sul,RS,Sul,0.4074303349158791,0000.00.0021,ÁREA DE PROTEÇÃO AMBIENTAL DO IBIRAPUITÃ,Sul,0.2974266055096918,0.04804613978110724,0.1179247976001276,0.1179247976001276
4317103,Sant'Ana do Livramento,RS,Sul,0.6542842519968138,0000.00.0021,ÁREA DE PROTEÇÃO AMBIENTAL DO IBIRAPUITÃ,Sul,0.2974266055096918,0.1684410360730036,0.2574432069225836,0.2574432069225836
4304408,Canela,RS,Sul,0.02350547584124626,0000.00.0087,FLORESTA NACIONAL DE CANELA,Sul,0.0005233706674367842,0.0005233706674367842,0.0222659039524058,0.0222659039524058
4311809,Marau,RS,Sul,0.05985915646034286,0000.00.0130,FLORESTA NACIONAL DE PASSO FUNDO,Sul,0.0012269778603358674,1.4351098961169148e-09,2.397477647496897e-08,2.397477647496897e-08
4312138,Mato Castelhano,RS,Sul,0.021914213690955354,0000.00.0130,FLORESTA NACIONAL DE PASSO FUNDO,Sul,0.0012269778603358674,0.0012269764252259556,0.05598998177755131,0.05598998177755131
4312500,Mostardas,RS,Sul,0.18647649800100483,0000.00.0140,PARQUE NACIONAL DA LAGOA DO PEIXE,Sul,0.03476495210838925,0.011990729532154845,0.06430155896691192,0.06430155896691192
4321352,Tavares,RS,Sul,0.05779209204916455,0000.00.0140,PARQUE NACIONAL DA LAGOA DO PEIXE,Sul,0.03476495210838925,0.019021621862298922,0.32913883522536197,0.32913883522536197
4312617,Muitos Capões,RS,Sul,0.10989843308187078,0000.00.0050,ESTAÇÃO ECOLÓGICA DE ARACURI-ESMERALDA,Sul,0.00025461935657992914,0.00025461935657992914,0.002316860663429532,0.002316860663429532
4318200,São Francisco de Paula,RS,Sul,0.3078048946839914,0000.00.0133,FLORESTA NACIONAL DE SÃO FRANCISCO DE PAULA,Sul,0.001502097941624927,0.001502097941624927,0.004880032668639202,0.004880032668639202
4321501,Torres,RS,Sul,0.015012563045107192,0000.00.0190,REFUGIO DE VIDA SILVESTRE DA ILHA DOS LOBOS,Sul,0.00013228031870594518,2.169240356071605e-06,0.0001444950039213052,0.0001444950039213052
5002159,Bodoquena,MS,Centro-Oeste,0.22450927250703315,0000.00.0143,PARQUE NACIONAL DA SERRA DA BODOQUENA,Centro-Oeste,0.06690865621180492,0.018379399020380365,0.08186476582968126,0.08186476582968126
5002209,Bonito,MS,Centro-Oeste,0.4668656648723787,0000.00.0143,PARQUE NACIONAL DA SERRA DA BODOQUENA,Centro-Oeste,0.06690865621180492,0.04435908857816189,0.09501467320430983,0.09501467320430983
5005004,Jardim,MS,Centro-Oeste,0.1854158253819179,0000.00.0143,PARQUE NACIONAL DA SERRA DA BODOQUENA,Centro-Oeste,0.06690865621180492,0.00417012678894522,0.02249067349216621,0.02249067349216621
5006903,Porto Murtinho,MS,Centro-Oeste,1.5230131291994218,0000.00.0143,PARQUE NACIONAL DA SERRA DA BODOQUENA,Centro-Oeste,0.06690865621180492,4.1824317468494614e-08,2.7461560682986194e-08,2.7461560682986194e-08
5003207,Corumbá,MS,Centro-Oeste,5.52044922789599,0000.00.0175,PARQUE NACIONAL DO PANTANAL MATO-GROSSENSE,,0.11574037782080707,0.0003011576253070398,5.455310118336512e-05,5.455310118336512e-05
5102504,Cáceres,MT,Centro-Oeste,2.0773836540084694,0000.00.0175,PARQUE NACIONAL DO PANTANAL MATO-GROSSENSE,,0.11574037782080707,3.810723406034201e-05,1.8343859588387158e-05,0.005036587018808026
5102504,Cáceres,MT,Centro-Oeste,2.0773836540084694,0000.00.0062,ESTAÇÃO ECOLÓGICA DE TAIAMÃ,Centro-Oeste,0.009797835016659345,0.009796189385284636,0.004715638041332493,0.005036587018808026
